web-scraper-order,web-scraper-start-url,link,link-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,Fuel Type,vin,mileage,color,Color 2,internet price,photo urls,Doors,Vehicle Type,description,trim,certified,condition,special_price,pagination,pagination-href
"1654709532-35","https://www.schrecksauto.com/all-inventory","2022 Wells Cargo 7x14  Enclosed Cargo Trailer","https://www.schrecksauto.com/2022-wells-cargo-7x14-enclosed-cargo-trailer-BUCl%7CUnh.html"," 7x14t2d 385","2022","
                Wells Cargo","
                FT714T2-D","","","","","","","","","
                    Charcoal","
                    Charcoal","10,900.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/zSZE2q/2022_Wells_Cargo_7x14__Enclosed_Cargo_Trailer_9buIPw.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/zSZE2q/2022_Wells_Cargo_7x14__Enclosed_Cargo_Trailer_FCWJaS.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/zSZE2q/2022_Wells_Cargo_7x14__Enclosed_Cargo_Trailer_Ctvgg4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/zSZE2q/2022_Wells_Cargo_7x14__Enclosed_Cargo_Trailer_gAotxA.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/zSZE2q/2022_Wells_Cargo_7x14__Enclosed_Cargo_Trailer_X7zJcO.jpg""}]","","","","","","
                new","9,992.00","3","https://www.schrecksauto.com/all-inventory?page=3"
"1654709535-36","https://www.schrecksauto.com/all-inventory","2012 Kia Optima Car","https://www.schrecksauto.com/2012-kia-optima-car-Zrel%7CUnh.html"," G0073842","2012","
                Kia","
                Optima","","","","","","","
                    5XXGM4A7XCG007384","","
                    Champagne","
                    Champagne","11,659.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/8Zegcq/2012_Kia_Optima_Car_5gbTZwncuhbm.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/HLniyW/2012_Kia_Optima_Car_5gbTZwkgn7ot.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/9OSsuO/2012_Kia_Optima_Car_i0KGemd65jqu.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/NCHU4u/2012_Kia_Optima_Car_i0KGemteb73u.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/QaKeKe/2012_Kia_Optima_Car_i0KGem1bu5rz.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/kRG9tQ/2012_Kia_Optima_Car_KK36wqpzxo82.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/4CiYyG/2012_Kia_Optima_Car_KK36wqmbefhq.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/emqLom/2012_Kia_Optima_Car_wdlu1gyt6az0.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/xMDmAy/2012_Kia_Optima_Car_YxUg3Un5pi6s.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qqnNYm/2012_Kia_Optima_Car_YxUg3Ukryqen.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/dOptPE/2012_Kia_Optima_Car_BHDWLYfpu9x5.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/uqbC76/2012_Kia_Optima_Car_BHDWLYi2e2oh.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/wJQpjk/2012_Kia_Optima_Car_nawJQOpgecv3.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/3FonTs/2012_Kia_Optima_Car_nawJQOknwdss.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/ZqZATA/2012_Kia_Optima_Car_Puf5SCrts251.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/tnoFfs/2012_Kia_Optima_Car_Puf5SCrksexx.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/IvjKqm/2012_Kia_Optima_Car_2ENvkGe2m176.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Nb7NxY/2012_Kia_Optima_Car_2ENvkG6ggiek.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/gL8lhA/2012_Kia_Optima_Car_eY6ip6vgbivn.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SEEe1o/2012_Kia_Optima_Car_eY6ip6mdm8vv.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/hiE1w0/2012_Kia_Optima_Car_GrpWz2hc3gg.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/HMriiG/2012_Kia_Optima_Car_GrpWz2pg3xhv.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/pgq45Q/2012_Kia_Optima_Car_tBYK3sj15brd.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/vgOzLs/2012_Kia_Optima_Car_tBYK3sywkc5e.jpg""}]","","","","","","
                used","10,543.00","3","https://www.schrecksauto.com/all-inventory?page=3"
"1654709537-37","https://www.schrecksauto.com/all-inventory","2022 Gatormade Trailers 16 Foot Equipment Trailer","https://www.schrecksauto.com/2022-gatormade-trailers-16-foot-equipment-trailer-suuk%7CUnh.html"," ns1049","2022","
                Gatormade Trailers","
                16 Foot equipment trailer","","","","","","","","","","","","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/z2g5rM/2022_Gatormade_Trailers_18_Foot_Equipment_Trailer_HDpKEq.png""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/z2g5rM/2022_Gatormade_Trailers_18_Foot_Equipment_Trailer_VrGw0e.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/z2g5rM/2022_Gatormade_Trailers_18_Foot_Equipment_Trailer_8Azju4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/z2g5rM/2022_Gatormade_Trailers_18_Foot_Equipment_Trailer_kUiXmS.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/z2g5rM/2022_Gatormade_Trailers_18_Foot_Equipment_Trailer_z8A9YG.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/z2g5rM/2022_Gatormade_Trailers_18_Foot_Equipment_Trailer_bRsxJQ.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/z2g5rM/2022_Gatormade_Trailers_18_Foot_Equipment_Trailer_q5KZ5E.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/z2g5rM/2022_Gatormade_Trailers_18_Foot_Equipment_Trailer_SP3Mye.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/z2g5rM/2022_Gatormade_Trailers_18_Foot_Equipment_Trailer_h2UykS.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/z2g5rM/2022_Gatormade_Trailers_18_Foot_Equipment_Trailer_JMDmds.png""}]","","","","","","
                new","","3","https://www.schrecksauto.com/all-inventory?page=3"
"1654709540-38","https://www.schrecksauto.com/all-inventory","2002 Chevrolet Suburban SUV","https://www.schrecksauto.com/2002-chevrolet-suburban-suv-FC8k%7CUnh.html"," j105518","2002","
                Chevrolet","
                Suburban","","","","","","","
                    1gnfk16z82j105518","","","","","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/2d42IS/2002_Chevrolet_Suburban_SUV_hYGqC8.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/2d42IS/2002_Chevrolet_Suburban_SUV_Jrze5Y.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/2d42IS/2002_Chevrolet_Suburban_SUV_wBiRxw.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/2d42IS/2002_Chevrolet_Suburban_SUV_YVRFrM.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/2d42IS/2002_Chevrolet_Suburban_SUV_ApA3km.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/2d42IS/2002_Chevrolet_Suburban_SUV_n8srdA.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/2d42IS/2002_Chevrolet_Suburban_SUV_PSbfWa.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/2d42IS/2002_Chevrolet_Suburban_SUV_1mKTHk.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/2d42IS/2002_Chevrolet_Suburban_SUV_e63HA8.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/2d42IS/2002_Chevrolet_Suburban_SUV_GPm53Y.jpg""}]","","","","","","
                used","","3","https://www.schrecksauto.com/all-inventory?page=3"
"1654709543-39","https://www.schrecksauto.com/all-inventory","2022 Watchdog 7x14 dump Dump Trailer","https://www.schrecksauto.com/2022-watchdog-7x14-dump-dump-trailer-ZQ9l%7CUnh.html"," watchdog7x14dump","2022","
                Watchdog","
                7x14 dump","","","","","","","","","","","14,600.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/aCxHM0/2022_Watchdog_7x14_dump_Dump_Trailer_BbQp0Kx08j09.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SixirI/2022_Watchdog_7x14_dump_Dump_Trailer_BbQp0Kikxl07.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/MJvIfY/2022_Watchdog_7x14_dump_Dump_Trailer_BbQp0Kidtbeq.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/FWpNCq/2022_Watchdog_7x14_dump_Dump_Trailer_BbQp0K4kpcte.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/7tDegC/2022_Watchdog_7x14_dump_Dump_Trailer_nv9c5Aa4v03n.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/HKfKSG/2022_Watchdog_7x14_dump_Dump_Trailer_nv9c5Av2o9su.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/NNtO7M/2022_Watchdog_7x14_dump_Dump_Trailer_nv9c5Aooiyh8.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/2sG5gW/2022_Watchdog_7x14_dump_Dump_Trailer_nv9c5A2lss4i.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/dJaJV2/2022_Watchdog_7x14_dump_Dump_Trailer_QEsQF6myk4p0.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/5CsiSO/2022_Watchdog_7x14_dump_Dump_Trailer_QEsQF6facqa4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/XnOsCG/2022_Watchdog_7x14_dump_Dump_Trailer_QEsQF64evpu.jpg""}]","","","","","","
                new","12,049.00","3","https://www.schrecksauto.com/all-inventory?page=3"
"1654709546-40","https://www.schrecksauto.com/all-inventory","2022 and 2021 Gatormade Trailers 16 Foot Lowboy Car Hauler Car / Racing Trailer","https://www.schrecksauto.com/2022-and-2021-gatormade-trailers-16-foot-lowboy-car-hauler-car-racing-trailer-tuuk%7CUnh.html"," ns001313","2021","
                Gatormade Trailers","
                16 Foot Lowboy Car Hauler","","","","","","","","","","","4,757.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bMOtjk/2022_Gatormade_Trailers_18_Foot_Lowboy_Car_Hauler_Car__Racing_Trailer_Fi43we.png""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bMOtjk/2022_Gatormade_Trailers_18_Foot_Lowboy_Car_Hauler_Car__Racing_Trailer_s1mrp2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bMOtjk/2022_Gatormade_Trailers_18_Foot_Lowboy_Car_Hauler_Car__Racing_Trailer_ULVfiS.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bMOtjk/2022_Gatormade_Trailers_18_Foot_Lowboy_Car_Hauler_Car__Racing_Trailer_6fETbs.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bMOtjk/2022_Gatormade_Trailers_18_Foot_Lowboy_Car_Hauler_Car__Racing_Trailer_iyxHUG.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bMOtjk/2022_Gatormade_Trailers_18_Foot_Lowboy_Car_Hauler_Car__Racing_Trailer_LIg5Ng.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bMOtjk/2022_Gatormade_Trailers_18_Foot_Lowboy_Car_Hauler_Car__Racing_Trailer_xcOtG4.png""}]","","","","","","
                new","4,757.00","3","https://www.schrecksauto.com/all-inventory?page=3"
"1654709549-41","https://www.schrecksauto.com/all-inventory","2022 Gatormade Trailers 30 Foot Gooseneck Equipment Trailer","https://www.schrecksauto.com/2022-gatormade-trailers-30-foot-gooseneck-equipment-trailer-wuuk%7CUnh.html"," ns001419","2022","
                Gatormade Trailers","
                30 foot goosneck","","","","","","","","","
                    Black","
                    Black","27,990.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_aFRILA.png""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_P4DFbM.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_1Nw3Um.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_dherNA.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_sL6T0i.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_UepGu8.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_6yY4nY.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_jIGsfw.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_xviURk.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_hf8ArI.png""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_LbzgZM.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/SJZJMu/2021_Gatormade_Trailers_23_Foot_Equipment_Trailer_G1Nf8K.jpg""}]","","","","","","
                new","21,599.00","3","https://www.schrecksauto.com/all-inventory?page=3"
"1654709552-42","https://www.schrecksauto.com/all-inventory","2009 Freightliner mt45 Truck","https://www.schrecksauto.com/2009-freightliner-mt45-truck-RCnl%7CUnh.html"," L3574","2009","
                Freightliner","
                mt45","","","","","","","
                    4UZAAPDU19CAL3574","","
                    White","
                    White","38,999.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/5QiDpI/2009_Freightliner_mt45_Truck_7XOheq.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/5QiDpI/2009_Freightliner_mt45_Truck_lzVy4W.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/5QiDpI/2009_Freightliner_mt45_Truck_6DZbIO.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/5QiDpI/2009_Freightliner_mt45_Truck_W2FFfk.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/5QiDpI/2009_Freightliner_mt45_Truck_Dwa50C.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/5QiDpI/2009_Freightliner_mt45_Truck_YAdiD2.jpg""}]","","","","","","
                used","38,999.00","3","https://www.schrecksauto.com/all-inventory?page=3"
"1654709555-43","https://www.schrecksauto.com/all-inventory","2022 Texoma 20' Car Hauler 10K Trailer","https://www.schrecksauto.com/2022-texoma-20-car-hauler-10k-trailer-b1Gh%7CUnh.html"," menu1adecember21","2022","
                Other","
                20 ft Car Hauler 10K","","","","","","","
                    11111111111111111","","
                    Black","
                    Black","6,599.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Bl7QlM/2019_Texoma_Car_Hauler_Va4a4u.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Bl7QlM/2019_Texoma_Car_Hauler_7tnNyK.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Bl7QlM/2019_Texoma_Car_Hauler_MXEzi4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Bl7QlM/2019_Texoma_Car_Hauler_yqxnaS.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Bl7QlM/2019_Texoma_Car_Hauler_DUPPLE.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Bl7QlM/2019_Texoma_Car_Hauler_po8DDc.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Bl7QlM/2019_Texoma_Car_Hauler_glIcqm.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Bl7QlM/2019_Texoma_Car_Hauler_XiT2Tw.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Bl7QlM/2019_Texoma_Car_Hauler_A2BqNM.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Bl7QlM/2019_Texoma_Car_Hauler_OfdS76.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/Bl7QlM/2019_Texoma_Car_Hauler_dJ53qq.jpg""}]","","","","","","
                new","5,999.00","8","https://www.schrecksauto.com/all-inventory?page=8"
"1654709557-44","https://www.schrecksauto.com/all-inventory","2022 Texoma Full Metal Deck Car Hauler 7K Trailer","https://www.schrecksauto.com/2022-texoma-full-metal-deck-car-hauler-7k-trailer-21Gh%7CUnh.html"," chhbshow20adecember 21","2022","
                Texoma Trailers","
                Full Metal Deck Car Hauler","","","","","","","
                    56565656565656565","","
                    Black","
                    Black","5,799.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/sLd9SK/2019_Texoma_Car_Hauler_V0G77I.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/sLd9SK/2019_Texoma_Car_Hauler_7Jyv0i.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/sLd9SK/2019_Texoma_Car_Hauler_LxQWmW.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/sLd9SK/2019_Texoma_Car_Hauler_RY2Y9Q.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/sLd9SK/2019_Texoma_Car_Hauler_3rlM2q.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/sLd9SK/2019_Texoma_Car_Hauler_IVCxma.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/sLd9SK/2019_Texoma_Car_Hauler_uovley.jpg""}]","","","","","","
                new","5,799.00","8","https://www.schrecksauto.com/all-inventory?page=8"
"1654709560-45","https://www.schrecksauto.com/all-inventory","2016 Ford F150 Truck","https://www.schrecksauto.com/2016-ford-f150-truck-xaGk%7CUnh.html"," ke94843","2016","
                Ford","
                F150","","","","","","","
                    1ftew1eg9gke94843","","
                    Black","
                    Black","42,562.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_aL82cq.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_EnFIn2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_2IC9YW.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_J42Db6.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_C9b5nc.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_byGkAy.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_V3pc6y.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_9VwsXg.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_ZKcWv2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_q6SbE8.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_6sIfHk.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/bsVRBI/2016_Ford_F150_Truck_zxrXTE.jpg""}]","","","","","","
                used","36,965.00","3","https://www.schrecksauto.com/all-inventory?page=3"
"1654709563-46","https://www.schrecksauto.com/all-inventory","2022 Gatormade Trailers 18 Foot Equipment Trailer","https://www.schrecksauto.com/2022-gatormade-trailers-18-foot-equipment-trailer-ruuk%7CUnh.html"," ns001734","2022","
                Gatormade Trailers","
                18 Foot equipment trailer","","","","","","","","","","","","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/MixHyy/2022_Gatormade_Trailers_20_Foot_Equipment_Trailer_2lF7uS.png""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/MixHyy/2022_Gatormade_Trailers_20_Foot_Equipment_Trailer_f4xvmq.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/MixHyy/2022_Gatormade_Trailers_20_Foot_Equipment_Trailer_HOgjgG.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/MixHyy/2022_Gatormade_Trailers_20_Foot_Equipment_Trailer_tiPXYe.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/MixHyy/2022_Gatormade_Trailers_20_Foot_Equipment_Trailer_W28LJo.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/MixHyy/2022_Gatormade_Trailers_20_Foot_Equipment_Trailer_8Lr9DE.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/MixHyy/2022_Gatormade_Trailers_20_Foot_Equipment_Trailer_kfZx5c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/MixHyy/2022_Gatormade_Trailers_20_Foot_Equipment_Trailer_MzIkz2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/MixHyy/2022_Gatormade_Trailers_20_Foot_Equipment_Trailer_zJ1YrQ.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/MixHyy/2022_Gatormade_Trailers_20_Foot_Equipment_Trailer_bckMkq.png""}]","","","","","","
                new","","3","https://www.schrecksauto.com/all-inventory?page=3"
"1654709565-47","https://www.schrecksauto.com/all-inventory","2004 GMC Yukon SUV","https://www.schrecksauto.com/2004-gmc-yukon-suv-A67k%7CUnh.html"," R172067","2004","
                GMC","
                Yukon","","","","","","","
                    1GKEK13Z44R172067","","
                    White","
                    White","7,995.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_g5A3Xs.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_WdXfGK.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_uibfJg.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_X2KTD6.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_9M3H6W.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_lfm4yu.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_0JDglk.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_ccwUe8.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_rGO6Pw.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_Ta6uB6.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_CI6afI.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/JtkLUe/2004_GMC_Yukon_SUV_obpOXg.jpg""}]","","","","","","
                used","7,500.00","3","https://www.schrecksauto.com/all-inventory?page=3"
